company,valuation,industry,city,country,continent,year_founded,funding,select_investors,year_joined
Highspot,4000000000,Internet software & services,Seattle,United States,North America,2013,643000000,"Madrona Venture Group, Shasta Ventures, Salesforce Ventures",2021
Indigo Ag,4000000000,Artificial intelligence,Boston,United States,North America,2014,1000000000,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.",2017
Mirakl,4000000000,E-commerce & direct-to-consumer,Paris,France,Europe,2011,948000000,"Elaia Partners, 83North, Felix Capital",2020
Rec Room,4000000000,Internet software & services,Seattle,United States,North America,2016,294000000,"First Round Capital, Sequoia Capital, Index Ventures",2021
Tekion,4000000000,Internet software & services,San Ramon,United States,North America,2016,435000000,"Airbus Ventures, Index Ventures, Advent International",2020
Outreach,4000000000,Internet software & services,Seattle,United States,North America,2011,489000000,"Mayfield Fund, M12, Trinity Ventures",2019
WeRide,4000000000,Auto & transportation,Guangzhou,China,Asia,2017,1000000000,"Atop Capital, IDInvest Partners, Qiming Venture Partners",2020
Applied Intuition,4000000000,Data management & analytics,Sunnyvale,United States,North America,2017,352000000,"Andreessen Horowitz, Lux Capital, General Catalyst",2020
Course Hero,4000000000,Edtech,Redwood City,United States,North America,2006,477000000,"NewView Capital, Maveron, Ridge Ventures",2020
Relativity,4000000000,Internet software & services,Chicago,United States,North America,2001,125000000,"Silver Lake, ICONIQ Capital",2021
Whoop,4000000000,E-commerce & direct-to-consumer,Boston,United States,North America,2012,404000000,"NextView Ventures, Promus Ventures, Two Sigma Ventures",2020
Arctic Wolf Networks,4000000000,Cybersecurity,Eden Prairie,United States,North America,2012,498000000,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors",2020
GOAT,4000000000,E-commerce & direct-to-consumer,Culver City,United States,North America,2015,493000000,"Upfront Ventures, Webb Investment Network, D1 Capital Partners",2020
Papaya Global,4000000000,Internet software & services,New York,United States,North America,2016,440000000,"Bessemer Venture Partners, Insight Partners, New Era Ventures",2021
Redwood Materials,4000000000,Other,Carson City,United States,North America,2017,792000000,"Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners",2021
ShareChat,4000000000,Internet software & services,Bengaluru,India,Asia,2015,1000000000,"India Quotient, Elevation Capital, Lightspeed Venture Partners",2021
Sorare,4000000000,E-commerce & direct-to-consumer,Paris,France,Europe,2019,739000000,"Benchmark, Accel, SoftBank Group",2021
VAST Data,4000000000,Data management & analytics,New York,United States,North America,2016,263000000,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital",2020
Articulate,4000000000,Edtech,New York,United States,North America,2015,2000000000,"Blackstone, ICONIQ Growth, General Atlantic",2021
Dutchie,4000000000,E-commerce & direct-to-consumer,Bend,United States,North America,2017,603000000,"Casa Verde Capital, Gron Ventures, Thrity Five Ventures",2021
FalconX,4000000000,Fintech,San Mateo,United States,North America,2018,324000000,"Tiger Global Management, American Express Ventures, B Capital Group",2021
Guild Education,4000000000,Internet software & services,Denver,United States,North America,2015,379000000,"General Atlantic, Blackstone, ICONIQ Growth",2019
dbt Labs,4000000000,Data management & analytics,Philadelphia,United States,North America,2016,414000000,"Andreessen Horowitz, Amplify Partners, Sequoia Capital",2021
Globalization Partners,4000000000,Internet software & services,Boston,United States,North America,2012,350000000,"Vista Equity Partners, Wincove, TDR Capital",2022
Intarcia Therapeutics,4000000000,Health,Boston,United States,North America,1995,1000000000,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital",2014
Relativity Space,4000000000,Other,Inglewood,United States,North America,2016,1000000000,"Playground Global, Bond, Tribe Capital",2020
StockX,4000000000,E-commerce & direct-to-consumer,Detroit,United States,North America,2016,495000000,"Google Ventures, Battery Ventures, DST Global",2019
ThoughtSpot,4000000000,Internet software & services,Sunnyvale,United States,North America,2012,664000000,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital",2018
BitPanda,4000000000,Fintech,Vienna,Austria,Europe,2014,546000000,"Speedinvest, Valar Ventures, Uniqa Ventures",2021
Dataminr,4000000000,Artificial intelligence,New York,United States,North America,2009,1000000000,"Venrock, Institutional Venture Partners, Goldman Sachs",2018
Weee!,4000000000,"Supply chain, logistics, & delivery",Fremont,United States,North America,2015,864000000,"Goodwater Capital, iFly, XVC Venture Capital",2021
Medlinker,4000000000,Health,Chengdu,China,Asia,2014,761000000,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China",2018
Hozon Auto,4000000000,Auto & transportation,Shanghai,China,Asia,2014,2000000000,"HD Capital, Qihoo 360 Technology, China Fortune Land Development",2022
Aurora Solar,4000000000,Internet software & services,San Francisco,United States,North America,2013,523000000,"Fifth Wall Ventures, Energize Ventures, ICONIQ Capital",2021
Branch,4000000000,Mobile & telecommunications,Redwood City,United States,North America,2014,667000000,"New Enterprise Associates, Pear, Cowboy Ventures",2018
BrowserStack,4000000000,Internet software & services,Dublin,Ireland,Europe,2011,250000000,"Accel, Insight Partners, Bond Capital",2021
Cerebras Systems,4000000000,Hardware,Los Altos,United States,North America,2016,720000000,"Benchmark, Foundation Capital, Sequoia Capital",2018
ClickUp,4000000000,Internet software & services,San Diego,United States,North America,2017,535000000,"Georgian Partners, Craft Ventures",2020
Clubhouse,4000000000,Mobile & telecommunications,San Francisco,United States,North America,2020,110000000,"Andreessen Horowitz, TQ Ventures",2021
Farmers Business Network,4000000000,Other,San Carlos,United States,North America,2014,870000000,"Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures",2020
Houzz,4000000000,E-commerce & direct-to-consumer,Palo Alto,United States,North America,2008,614000000,"New Enterprise Associates, Sequoia Capital, Comcast Ventures",2014
MEGVII,4000000000,Artificial intelligence,Beijing,China,Asia,2011,1000000000,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company",2017
Melio,4000000000,Fintech,New York,United States,North America,2018,504000000,"Accel, Aleph, American Express Ventures",2021
Olive,4000000000,Internet software & services,Columbus,United States,North America,2012,856000000,"Drive Capital, General Catalyst, Ascension Ventures",2020
Patreon,4000000000,Internet software & services,San Francisco,United States,North America,2013,413000000,"Index Ventures, Thrive Capital, CRV",2020
PointClickCare,4000000000,Internet software & services,Mississauga,Canada,North America,2000,230000000,"Dragoneer Investment Group, Hellman & Friedman, JMI Equity",2021
Rubrik,4000000000,Data management & analytics,Palo Alto,United States,North America,2014,553000000,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures",2017
Vuori,4000000000,E-commerce & direct-to-consumer,Carlsbad,United States,North America,2015,445000000,"SoftBank Group, Norwest Venture Partners",2021
Webflow,4000000000,Internet software & services,San Francisco,United States,North America,2012,335000000,"Accel, Silversmith Capital Partners, capitalG",2021
Yuga Labs,4000000000,Fintech,Miami,United States,North America,2021,450000000,"Andreessen Horowitz, Thrive Capital, Sound Ventures",2022
Zapier,4000000000,Internet software & services,Sunnyvale,United States,North America,2011,1000000,"Sequoia Capital, Bessemer Venture Partners, Threshold Ventures",2021
Dadi Cinema,3000000000,Other,Shenzhen,China,Asia,2006,154000000,Alibaba Pictures Group,2016
Kurly,3000000000,"Supply chain, logistics, & delivery",Seoul,South Korea,Asia,2014,770000000,"Sequoia Capital China, DST Global, DST Global",2021
OpenAI,3000000000,Artificial intelligence,San Francisco,United States,North America,2015,1000000000,Khosla Ventures,2019
Upstox,3000000000,Fintech,Mumbai,India,Asia,2010,54000000,"Tiger Global Management, Kalaari Capital",2021
Vista Global,3000000000,Other,Dubai,United Arab Emirates,Asia,2004,418000000,Rhone Capital,2017
HyalRoute,4000000000,Mobile & telecommunications,,Singapore,Asia,2015,263000000,Kuang-Chi,2020
Automattic,3000000000,Internet software & services,San Francisco,United States,North America,2005,859000000,"Insight Venture Partners, Lowercase Capital, Polaris Partners",2013
OakNorth Bank,3000000000,Fintech,London,United Kingdom,Europe,2015,1000000000,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management",2017
SSENSE,4000000000,E-commerce & direct-to-consumer,Montreal,Canada,North America,2003,,Sequoia Capital,2021
Worldcoin,3000000000,Fintech,San Francisco,United States,North America,2019,125000000,"Day One Ventures, Coinbase Ventures, Andreessen Horowitz",2021
Hive Box,3000000000,"Supply chain, logistics, & delivery",Shenzhen,China,Asia,2015,1000000000,"Eastern Bell Capital, SF Holding Co, STO Express",2018
MessageBird,3000000000,Mobile & telecommunications,Amsterdam,Netherlands,Europe,2011,1000000000,"Y Combinator, Atomico, Accel",2020
Cohesity,3000000000,Data management & analytics,San Jose,United States,North America,2013,660000000,"SoftBank Group, Sequoia Capital, Wing Venture Capital",2018
Cybereason,3000000000,Cybersecurity,Boston,United States,North America,2012,714000000,"SoftBank Group, CRV, Spark Capital",2019
Acronis,3000000000,Cybersecurity,Schaffhausen,Switzerland,Europe,2003,408000000,"Goldman Sachs, VebVentures, Insight Partners",2019
Aura,3000000000,Cybersecurity,Burlington,United States,North America,2019,500000000,"Warburg Pincus, General Catalyst",2021
BYTON,3000000000,Auto & transportation,Nanjing,China,Asia,2016,1000000000,"FAW Group, Tencent Holdings, Tus Holdings",2018
Cato Networks,3000000000,Cybersecurity,Tel Aviv,Israel,Asia,2015,532000000,"Aspect Ventures, SingTel Innov8, Greylock Partners",2020
Digit Insurance,3000000000,Fintech,Bengaluru,India,Asia,2016,531000000,"Fairfax Financial Holdings, A91 Partners, TVS Capital",2021
Fetch Rewards,3000000000,E-commerce & direct-to-consumer,Madison,United States,North America,2014,582000000,"Greycroft, Loeb.NYC, DST Global",2021
Games24x7,3000000000,Internet software & services,Mumbai,India,Asia,2006,75000000,"Tiger Global Management, The Raine Group, Malabar Investments",2022
GoStudent,3000000000,Edtech,Vienna,Austria,Europe,2017,685000000,"DN Capital, Left Lane Capital, Coatue Management",2021
Immutable,3000000000,Fintech,Sydney,Australia,Oceania,2018,280000000,"Fabric Ventures, AirTree Ventures, Temasek",2022
Infra.Market,3000000000,E-commerce & direct-to-consumer,Thane,India,Asia,2016,274000000,"Accel, Tiger Global Management, Nexus Venture Partners",2021
Side,3000000000,Internet software & services,San Francisco,United States,North America,2017,314000000,"Coatue Managemeny, Trinity Ventures, Matrix Partners",2021
SiFive,3000000000,Hardware,San Mateo,United States,North America,2015,366000000,"Sutter Hill Ventures, Osage University Partners, Spark Capital",2022
Somatus,3000000000,Health,McLean,United States,North America,2016,465000000,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital",2022
Sysdig,3000000000,Cybersecurity,San Francisco,United States,North America,2013,730000000,"Accel, Bain Capital Ventures, Insight Partners",2021
Uniphore,3000000000,Artificial Intelligence,Palo Alto,United States,North America,2008,607000000,"Chiratae Ventures, March Capital Partners, National Grid Partners",2022
Varo Bank,3000000000,Fintech,San Francisco,United States,North America,2015,987000000,"Warburg Pincus, The Rise Fund, HarbourVest Partners",2021
Vercel,3000000000,Internet software & services,San Francisco,United States,North America,2015,313000000,"CRV, Accel, Google Ventures",2021
Oura,3000000000,Health,Oulu,Finland,Europe,2013,148000000,"Forerunner Ventures, Lifeline Ventures, MSD Capital",2022
Unacademy,3000000000,Edtech,Bengaluru,India,Asia,2015,789000000,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India",2020
Axonius,3000000000,Cybersecurity,New York,United States,North America,2017,395000000,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge",2021
Clari,3000000000,Internet software & services,Sunnyvale,United States,North America,2012,496000000,"Sequoia Capital, Bain Capital Ventures, enaya Capital",2021
ManoMano,3000000000,E-commerce & direct-to-consumer,Paris,France,Europe,2013,706000000,"General Atlantic, Piton Capital, Partech Partners",2021
Pendo,3000000000,Internet software & services,Raleigh,United States,North America,2013,357000000,"Contour Venture Partners, Battery Ventures, Core Capital Partners",2019
Plume,3000000000,Internet software & services,Palo Alto,United States,North America,2015,722000000,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures",2021
JumpCloud,3000000000,Data management & analytics,Louisville,United States,North America,2012,407000000,"Foundry Group, General Atlantic, BlackRock",2021
Project44,3000000000,"Supply chain, logistics, & delivery",Chicago,United States,North America,2014,818000000,"Emergence Capital Partners, 8VC, Chicago Ventures",2021
Sourcegraph,3000000000,Internet software & services,San Francisco,United States,North America,2013,248000000,"Redpoint Ventures, Goldcrest Capital, Insight Partners",2021
OwnBackup,3000000000,Data management & analytics,Englewood Cliffs,United States,North America,2015,507000000,"Insight Partners, Salesforce Ventures, Vertex Ventures",2021
Starburst,3000000000,Data management & analytics,Boston,United States,North America,1999,414000000,"Index Ventures, Coatue Management, Andreessen Horowitz",2021
Youxia Motors,3000000000,Auto & transportation,Shanghai,China,Asia,2014,1000000000,"China Environmental Protection Industry, China Fortune Ocean",2018
Zetwerk,3000000000,Internet software & services,Bengaluru,India,Asia,2018,543000000,"Sequoia Capital India, Kae Capital, Accel",2021
Cars24,3000000000,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,1000000000,"Moore Strategic Ventures, DST Global, Sequoia Capital India",2020
Ethos,3000000000,Fintech,San Francisco,United States,North America,2016,407000000,"Sequoia Capital, Google Ventures, Accel",2021
Komodo Health,3000000000,Health,San Francisco,United States,North America,2014,314000000,"Andreessen Horowitz, IA Ventures, Felicis Ventures",2020
Nextiva,3000000000,Internet software & services,Scottsdale,United States,North America,2008,200000000,Goldman Sachs Asset Management,2021
o9 Solutions,3000000000,Artificial intelligence,Dallas,United States,North America,2009,417000000,KKR,2020
Scopely,3000000000,Mobile & telecommunications,Culver City,United States,North America,2011,999000000,"Greycroft, Sands Capital, Revolution Growth",2019
Sila Nanotechnologies,3000000000,Other,Alameda,United States,North America,2011,880000000,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",2019
Via,3000000000,Auto & transportation,New York,United States,North America,2012,777000000,"83North, RiverPark Ventures, Pitango Venture Capital",2020
BlockDaemon,3000000000,Fintech,Los Angeles,United States,North America,2016,398000000,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital",2021
Convoy,3000000000,"Supply chain, logistics, & delivery",Seattle,United States,North America,2015,666000000,"Greylock Partners, capitalG, Y Combinator",2018
Dream Games,3000000000,Mobile & telecommunications,Istanbul,Turkey,Europe,2019,468000000,"Makers Fund, Index Ventures, Inova Ventures Participacees",2021
Illumio,3000000000,Cybersecurity,Sunnyvale,United States,North America,2013,558000000,"Data Collective, Formation 8, General Catalyst Partners",2015
MasterClass,3000000000,Edtech,San Francisco,United States,North America,2015,461000000,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners",2021
Urban Company,2000000000,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2014,371000000,"VY Capital, Accel, Elevation Capital",2021
Graphcore,3000000000,Artificial intelligence,Bristol,United Kingdom,Europe,2016,682000000,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",2018
ApplyBoard,3000000000,Edtech,Kitchener,Canada,North America,2015,483000000,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",2020
Blockstream,3000000000,Fintech,Vancouver,Canada,North America,2014,299000000,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",2021
Cedar,3000000000,Fintech,New York,United States,North America,2016,326000000,"Thrive Capital, Founders Fund, Cocnord Health Partners",2021
ContentSquare,3000000000,Internet software & services,Paris,France,Europe,2012,812000000,"Highland Europe, Eurazeo, Canaan Partners",2021
Eruditus Executive Education,3000000000,Edtech,Mumbai,India,Asia,2010,591000000,"Sequoia Capital India, Softbank, Bertelsmann India Investments",2021
Innovaccer,3000000000,Health,San Francisco,United States,North America,2014,379000000,"M12, WestBridge Capital, Lightspeed Venture Partners",2021
Ironclad,3000000000,Internet software & services,Sacramento,United States,North America,2014,334000000,"Accel, Sequoia Capital, Y Combinator",2022
Skims,3000000000,E-commerce & direct-to-consumer,Los Angeles,United States,North America,2019,399000000,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures",2021
Thumbtack,3000000000,E-commerce & direct-to-consumer,San Francisco,United States,North America,2008,698000000,"Tiger Global, Sequoia Capital, Google Capital",2015
Zipline,3000000000,"Supply chain, logistics, & delivery",South San Francisco,United States,North America,2014,483000000,"Sequoia Capital, Baillie Gifford & Co., Google Ventures",2019
BharatPe,3000000000,Fintech,New Delhi,India,Asia,2018,600000000,"Insight Partners, Sequoia Capital India, BEENEXT",2021
DriveWealth,3000000000,Fintech,Chatham,United States,North America,2012,551000000,"Point72 Ventures, Route 66 Ventures, Accel",2021
Flink Food,3000000000,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2021,1000000000,"Mubadala Capital, Bond, Prosus Ventures",2021
PsiQuantum,3000000000,Hardware,Palo Alto,United States,North America,2016,665000000,"Playground Global, M12, BlackRock",2021
SpotOn,3000000000,Fintech,San Francisco,United States,North America,2017,628000000,"Dragoneer Investment Group, DST Global, Franklin Templeton",2021
Gorillas,3000000000,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,1000000000,"Coatue Management, Atlantic Food Labs, DST Global",2021
HighRadius,3000000000,Fintech,Houston,United States,North America,2006,475000000,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",2020
Loft,3000000000,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2018,788000000,"Monashees+, Andreessen Horowitz, QED Investors",2020
Nuvemshop,3000000000,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2011,628000000,"Kaszek Ventures, Qualcomm Ventures, Accel",2021
Udaan,3000000000,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2016,1000000000,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp",2018
Workrise,3000000000,Internet software & services,Austin,United States,North America,2014,722000000,"Founders Fund, Quantum Energy Partners, Bedrock Capital",2019
ActiveCampaign,3000000000,Internet software & services,Chicago,United States,North America,2003,360000000,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",2021
Age of Learning,3000000000,Edtech,Glendale,United States,North America,2007,500000000,Iconiq Capital,2016
Anchorage Digital,3000000000,Fintech,San Francisco,United States,North America,2017,487000000,"Andreessen Horowitz, Blockchain Capital, Lux Capital",2021
BlockFi,3000000000,Fintech,Jersey City,United States,North America,2017,1000000000,"ConsenSys Ventures, Valar Ventures, PUC",2021
Calendly,3000000000,Internet software & services,Atlanta,United States,North America,2013,351000000,"ICONIQ Capital, OpenView Venture Partners",2021
Carbon Health,3000000000,Health,San Francisco,United States,North America,2015,523000000,"Brookfield Asset Management, Blackstone, Data Collective",2021
CMR Surgical,3000000000,Health,Cambridge,United Kingdom,Europe,2014,975000000,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",2019
Contentful,3000000000,Internet software & services,Berlin,Germany,Europe,2013,333000000,"Balderton Capital, General Catalyst, Tiger Global Management",2021
Cross River Bank,3000000000,Fintech,Fort Lee,United States,North America,2008,775000000,"Battery Ventures, Andreessen Horowitz, Ribbit Capital",2022
Delhivery,3000000000,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,2011,1000000000,"Times Internet, Nexus Venture Partners, SoftBank Group",2019
FlixBus,3000000000,Auto & transportation,Munich,Germany,Europe,2013,1000000000,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic",2019
Flutterwave,3000000000,Fintech,San Francisco,United States,North America,2016,474000000,"Green Visor Capital, CRE Venture Capital, Greycroft",2021
Forter,3000000000,Cybersecurity,New York,United States,North America,2013,525000000,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures",2020
Grafana Labs,3000000000,Internet software & services,New York,United States,North America,2014,535000000,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management",2021
Groww,3000000000,Fintech,Bengaluru,India,Asia,2017,393000000,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",2021
Inxeption,3000000000,Fintech,San Francisco,United States,North America,2017,187000000,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors",2022
KK Group,3000000000,E-commerce & direct-to-consumer,Dongguan,China,Asia,2014,612000000,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group",2019
Lattice,3000000000,Internet software & services,San Francisco,United States,North America,2015,329000000,"Khosla Ventures, Thrive Capital, Y Combinator",2021
Lucid,3000000000,Internet software & services,South Jordan,United States,North America,2010,170000000,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital",2021
Outschool,3000000000,Edtech,San Francisco,United States,North America,2015,240000000,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",2021
Podium,3000000000,Internet software & services,Lehi,United States,North America,2014,419000000,"Accel, Summit Partners, Google Ventures",2020
Remote,3000000000,Fintech,San Francisco,United States,North America,2016,496000000,"Index Ventures, Sequoia Capital, General Catalyst",2021
MobiKwik,1000000000,Fintech,Gurugram,India,Asia,2009,249000000,"Sequoia Capital India, The Times Group, GMO VenturePartners",2021
Seismic,3000000000,Internet software & services,San Diego,United States,North America,2010,427000000,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",2018
Sky Mavis,3000000000,Internet software & services,Ho Chi Minh City,Vietnam,Asia,2019,311000000,"Fabric Ventures, 500 Global, Standard Crypto",2021
SouChe Holdings,3000000000,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2012,1000000000,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",2017
TradingView,3000000000,Fintech,Westerville,United States,North America,2011,339000000,"Tiger Global Management, Insight Partners, Jump Capital",2021
wefox,3000000000,Fintech,Berlin,Germany,Europe,2014,919000000,"Salesforce Ventures, Seedcamp, OMERS Ventures",2019
Wildlife Studios,3000000000,Other,Sao Paulo,Brazil,South America,2011,180000000,"Benchmark, Bessemer Venture Partners",2019
1047 Games,2000000000,Internet software & services,Zephyr Cove,United States,North America,2017,127000000,"VGames, Lakestar, Galaxy Interactive",2021
Baiwang,2000000000,Fintech,Beijing,China,Asia,2015,224000000,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital",2019
Boba,2000000000,Fintech,San Francisco,United States,North America,2018,45000000,"DeFi Technologies, Hypersphere Ventures, M13",2022
Bought By Many,2000000000,Fintech,London,United Kingdom,Europe,2012,477000000,"Octopus Ventures, Munich Re Ventures, CommerzVentures",2021
Cambridge Mobile Telematics,2000000000,Mobile & telecommunications,Cambridge,United States,North America,2010,503000000,SoftBank Group,2018
Carzone,2000000000,E-commerce & direct-to-consumer,Jiangsu,China,Asia,1995,946000000,"Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital",2019
CFGI,2000000000,Fintech,Boston,United States,North America,2000,19000000,"The Carlyle Group, CVC Capital Partners",2021
Cgtz,2000000000,Fintech,Hangzhou,China,Asia,2014,536000000,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",2017
Changingedu,2000000000,Edtech,Shanghai,China,Asia,2014,188000000,"Trustbridge Partners, IDG Capital, Sequoia Capital China",2017
eDaili,2000000000,E-commerce & direct-to-consumer,Shanghai,China,Asia,2015,101000000,"K2VC, Lightspeed China Partners, Sky9 Capital",2019
ENOVATE,2000000000,Auto & transportation,Shanghai,China,Asia,2015,1000000000,Automobile Industry Guidance Fund,2019
Fenbi Education,2000000000,Edtech,Beijing,China,Asia,2015,390000000,"Trustbridge Partners, Hony Capital, IDG Capital",2021
Hesai Tech,2000000000,Artificial intelligence,Shanghai,China,Asia,2013,717000000,"Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners",2020
Il Makiage,2000000000,E-commerce & direct-to-consumer,New York,United States,North America,2018,29000000,"L Catterton, Franklin Templeton, First Light Capital Group",2022
Iluvatar CoreX,2000000000,Hardware,Shanghai,China,Asia,2015,186000000,"Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital",2021
Jusfoun Big Data,2000000000,Data management & analytics,Beijing,China,Asia,2010,137000000,"Boxin Capital, DT Capital Partners, IDG Capital",2018
Pagaya,2000000000,Fintech,Tel Aviv,Israel,Asia,2015,417000000,"Oak HC/FT Partners, GF Investments, Harvey Golub Family Office",2020
Promasidor Holdings,2000000000,Consumer & retail,Bryanston,South Africa,Asia,1979,556000000,"IFC, Ajinomoto",2016
Tubatu.com,2000000000,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,216000000,"Sequoia Capital China, Matrix Partners China, 58.com",2015
Ximalaya FM,2000000000,Mobile & telecommunications,Shanghai,China,Asia,2012,71000000,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management",2017
HEYTEA,2000000000,Other,Shenzhen,China,Asia,2012,594000000,"Sequoia Capital China, Tencent Investment, BA Capital",2019
BGL Group,2000000000,Fintech,Peterborough,United Kingdom,Europe,1992,696000000,CPP Investment Board,2017
Claroty,2000000000,Cybersecurity,New York,United States,North America,2015,640000000,"Bessemer Venture Partners, MoreVC, Team8",2021
Improbable,2000000000,Other,London,United Kingdom,Europe,2012,754000000,"Andreessen Horowitz, SoftBank Group, Temasek Holdings",2017
InMobi,2000000000,Mobile & telecommunications,Bengaluru,India,Asia,2007,221000000,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures",2014
Pantheon Systems,2000000000,Internet software & services,San Francisco,United States,North America,2010,200000000,"Foundry Group, Scale Venture Partners, SoftBank Group",2021
SellerX,2000000000,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,766000000,"Cherry Ventures, Felix Capital, 83North",2021
AppDirect,2000000000,E-commerce & direct-to-consumer,San Francisco,United States,North America,2009,431000000,"Mithril, iNovia Capital, Foundry Group",2015
BrewDog,2000000000,Consumer & retail,Aberdeen,United Kingdom,Europe,2007,233000000,"TSG Consumer Partners, Crowdcube",2017
Enflame,2000000000,Hardware,Shanghai,China,Asia,2018,472000000,"Tencent Holdings, Delta Capital, Redpoint Ventures China",2021
Tradeshift,2000000000,Fintech,San Francisco,United States,North America,2009,861000000,"Notion Capital, Scentan Ventures, Kite Ventures",2018
HeartFlow,2000000000,Health,Redwood City,United States,North America,2007,568000000,"BlueCross BlueShield Venture Partners, US Venture Partners",2017
Extend,2000000000,Fintech,San Francisco,United States,North America,2004,320000000,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures",2021
Airbyte,2000000000,Internet software & services,San Francisco,United States,North America,2020,181000000,"Accel, Benchmark, SV Angel",2021
Andela,2000000000,Internet software & services,New York,United States,North America,2014,381000000,"Spark Capital, Google Ventures, CRE Venture Capital",2021
Ascend Money,2000000000,Fintech,Bangkok,Thailand,Asia,2013,150000000,"Ant Group, Charoen Pokphand Group, Bow Wave Capital",2021
Athelas,2000000000,Health,Mountain View,United States,North America,2016,150000000,"Sequoia Capital, General Catalyst, Human Capital",2022
Built,2000000000,Internet software & services,Nashville,United States,North America,2015,289000000,"Nyca Partners, Index Ventures, Technology Crossover Ventures",2021
candy.com,2000000000,Fintech,New York,United States,North America,2021,100000000,"Insight Partners, Softbank Group, Connect Ventures",2021
Cognite,2000000000,Data management & analytics,Lysaker,Norway,Europe,2016,225000000,"Technology Crossover Ventures, Accel, Aker",2021
CoinList,2000000000,Fintech,San Francisco,United States,North America,2017,119000000,"Accomplice, Polychain Capital, GoldenTree Asset Management",2021
Collective Health,2000000000,Fintech,San Francisco,United States,North America,2013,719000000,"New Enterprise Associates, Founders Fund, Google Ventures",2019
Culture Amp,2000000000,Internet software & services,Richmond,Australia,Oceania,2011,257000000,"Felicis Ventures, Index Ventures, Blackbird Ventures",2021
Devo,2000000000,Data management & analytics,Cambridge,United States,North America,2011,381000000,"Insight Partners, Kibo Ventures, Bessemer Venture Partners",2021
ElasticRun,2000000000,"Supply chain, logistics, & delivery",Pune,India,Asia,2016,435000000,"Kalaari Capital, Norwest Venture Partners, Prosus Ventures",2022
Gett,2000000000,Auto & transportation,London,United Kingdom,Europe,2010,828000000,"Volkswagen, Access Industries, Vostok New Ventures",2016
ID.me,2000000000,Cybersecurity,McLean,United States,North America,2010,142000000,"Moonshots Capital, BoxGroup, Blu Venture Investors",2021
